on European average	im europäischen Durchschnitt
to sweep sth. [with a broom]	etw. abfegen [bes. nordd.]
whack [Am.] [coll.]	schlecht [etwas ist richtig scheiße]
The more the merrier!	Viel hilft viel!
at least	mindestens
to pass through customs	den Zoll passieren
to happen	passieren [geschehen]
noise	Geräusch {n}
noises	Geräusche {pl}
early retirement	vorzeitiger Ruhestand {m}
registered partner	eingetragener Lebenspartner {m}
civil partnership partner	eingetragener Lebensgefährte {m}
in the next few years	in den nächsten Jahren
sixty thousand	sechzigtausend
past forty	über vierzig
to assign a rating	eine Einstufung vornehmen
confirmation in writing	schriftliche Bestätigung {f}
bad landing	schlechte Landung {f}
bad job	schlechte Arbeit {f}
Italian Shoes [Henning Mankell]	Die italienischen Schuhe
to take long	lange dauern

one way ticket	einfache Fahrkarte {f}


